benchmark,method,notes,n_seeds,metric_a_mean,metric_a_std,metric_a_min,metric_a_max,metric_b_mean,metric_b_std,metric_b_min,metric_b_max
CUAD,Keyword + Rules,precision/recall,2,0.350000,0.150000,0.200000,0.500000,0.038889,0.016667,0.022222,0.055556
CUAD,PolicyLLM,precision/recall,2,0.763214,0.008214,0.755000,0.771429,0.294444,0.027778,0.266667,0.322222
CUAD,RAG Extractor,precision/recall,2,0.400000,0.100000,0.300000,0.500000,0.066667,0.011111,0.055556,0.077778
ContractNLI,PolicyLLM,accuracy/macro_f1,2,0.480000,0.000000,0.480000,0.480000,0.393139,0.004103,0.389036,0.397241
ContractNLI,System Prompt,accuracy/macro_f1,2,0.860000,0.060000,0.800000,0.920000,0.859938,0.060443,0.799495,0.920380
ContractNLI,Vanilla LLM,accuracy/macro_f1,2,0.810000,0.030000,0.780000,0.840000,0.808915,0.031252,0.777663,0.840166
LegalBench::privacy_policy_entailment,PolicyLLM,accuracy/macro_f1,2,0.970000,0.010000,0.960000,0.980000,0.969964,0.010028,0.959936,0.979992
LegalBench::privacy_policy_entailment,Vanilla LLM,accuracy/macro_f1,2,0.830000,0.050000,0.780000,0.880000,0.823529,0.054718,0.768810,0.878247
LegalBench::unfair_tos,PolicyLLM,accuracy/macro_f1,2,0.410000,0.050000,0.360000,0.460000,0.381802,0.076247,0.305556,0.458049
LegalBench::unfair_tos,Vanilla LLM,accuracy/macro_f1,2,0.570000,0.010000,0.560000,0.580000,0.524133,0.014329,0.509804,0.538462
