Method,Faithfulness,Faith CI,Q² Score,Q² CI,Halluc Rate,Halluc CI,Intrinsic,Intr CI,Extrinsic,Extr CI,AIS Score,AIS CI,Latency (s)
Vanilla LLM (no policy),0.566,[0.475-0.642],0.47,[0.357-0.585],1.0,[1.000-1.000],0.037,[0.000-0.091],0.672,[0.517-0.819],0.0,[0.000-0.000],3.6
System prompt injection,0.848,[0.762-0.920],0.757,[0.636-0.864],0.967,[0.900-1.000],0.084,[0.029-0.154],0.244,[0.134-0.377],0.506,[0.397-0.620],2.01
Few-shot prompting,0.717,[0.567-0.867],0.512,[0.374-0.657],0.933,[0.833-1.000],0.2,[0.067-0.333],0.583,[0.400-0.733],0.167,[0.067-0.333],0.86
RAG retrieval only,0.893,[0.795-0.968],0.621,[0.468-0.773],0.833,[0.667-0.967],0.078,[0.011-0.172],0.551,[0.375-0.714],0.322,[0.178-0.500],1.23
LLM zero-shot (conflict),0.76,[0.631-0.879],0.664,[0.526-0.796],0.9,[0.767-1.000],0.189,[0.072-0.333],0.385,[0.226-0.548],0.288,[0.158-0.435],1.31
RAG + Z3 hybrid,0.9,[0.800-0.978],0.624,[0.460-0.781],0.833,[0.667-0.967],0.05,[0.000-0.117],0.511,[0.325-0.669],0.322,[0.178-0.495],1.52
Keyword overlap + rules,0.84,[0.759-0.908],0.89,[0.830-0.946],0.667,[0.500-0.833],0.007,[0.000-0.020],0.134,[0.051-0.228],0.748,[0.640-0.850],0.01
Semantic similarity + rules,0.838,[0.765-0.902],0.899,[0.845-0.949],0.633,[0.467-0.800],0.007,[0.000-0.020],0.143,[0.058-0.241],0.752,[0.631-0.861],0.01
"SMT-only (Z3, no neural)",0.814,[0.742-0.879],0.881,[0.794-0.947],0.6,[0.433-0.767],0.007,[0.000-0.020],0.116,[0.048-0.196],0.752,[0.643-0.855],0.01
PolicyLLM (Ours),1.0,[1.000-1.000],0.0,[0.000-0.000],0.0,[0.000-0.000],0.0,[0.000-0.000],0.0,[0.000-0.000],1.0,[1.000-1.000],6.61
